# Rime user dictionary
#@/db_name	clover
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	8158
#@/user_id	3dec6ac1-e48f-48db-b571-d010f4307a57
a 	啊	c=78 d=10.1101 t=8158
dian yun 	点云	c=6 d=2.08037e-06 t=8158
dian zi 	电子	c=1 d=9.21517e-10 t=8158
dian zi shu 	电子书	c=1 d=2.9043e-14 t=8158
diao 	掉	c=3 d=0.83527 t=8158
diao du 	调度	c=1 d=0.110803 t=8158
diao yong 	调用	c=6 d=1.98566 t=8158
diao zuan 	刁钻	c=0 d=1.33089e-11 t=8158
ding 	丁	c=0 d=6.61127e-16 t=8158
ding 	定	c=1 d=4.5212e-15 t=8158
ding 	鼎	c=0 d=2.65297e-09 t=8158
ding ge 	定个	c=0 d=0.0970446 t=8158
ding ge gui ze 	定个规则	c=1 d=0.97531 t=8158
ding hu 	鼎湖	c=0 d=2.07649e-09 t=8158
ding ji 	顶级	c=1 d=0.0138427 t=8158
ding ji shi 	丁技师	c=1 d=6.64441e-15 t=8158
ding lv 	定律	c=3 d=1.22145e-08 t=8158
ding sheng 	鼎盛	c=1 d=1.57317e-07 t=8158
ding shi 	定时	c=12 d=3.31383 t=8158
ding shi qi 	定时器	c=1 d=1 t=8158
ding wei 	定位	c=1 d=2.20985e-05 t=8158
ding xiang 	定向	c=0 d=0.0995012 t=8158
ding yi 	定义	c=2 d=0.00113744 t=8158
ding yuan 	定远	c=0 d=1.12535e-08 t=8158
ding yuan hou 	定远侯	c=1 d=1.13099e-07 t=8158
ding yue 	订阅	c=6 d=0.986422 t=8158
ding zhi 	定制	c=1 d=1.38544e-12 t=8158
dong 	东	c=0 d=0.0980199 t=8158
dong 	冻	c=1 d=1.81081e-15 t=8158
dong 	懂	c=3 d=0.960789 t=8158
dong an 	东岸	c=1 d=8.46281e-08 t=8158
dong bei 	东北	c=3 d=5.4939e-14 t=8158
dong bu dong 	动不动	c=2 d=3.61091e-12 t=8158
dong dong 	东东	c=1 d=3.22474e-10 t=8158
dong gua 	冬瓜	c=1 d=0.99005 t=8158
dong hua 	动画	c=1 d=3.3138e-07 t=8158
dong le 	懂了	c=6 d=5.57515e-08 t=8158
dong ren 	动人	c=1 d=4.16069e-08 t=8158
dong shou 	动手	c=1 d=0.00166989 t=8158
dong tai 	动态	c=1 d=0.995012 t=8158
dong tai jia zai 	动态加载	c=1 d=1 t=8158
dong tu 	动图	c=1 d=3.66232e-07 t=8158
dong xi 	东西	c=6 d=0.0677453 t=8158
dong xie lu 	东斜路	c=1 d=0.985112 t=8158
dong zhong shu 	董仲舒	c=1 d=7.85131e-08 t=8158
dou 	都	c=24 d=1.46939 t=8158
dou bei 	都被	c=2 d=0.879887 t=8158
dou bu 	都不	c=0 d=1.21572e-05 t=8158
dou bu que 	都不缺	c=1 d=0.0120946 t=8158
dou bu sheng xiao 	都不生效	c=1 d=0.000122182 t=8158
dou bu shi 	都不是	c=1 d=0.0569831 t=8158
dou hai mei 	都还没	c=1 d=2.38854e-08 t=8158
dou hao 	逗号	c=1 d=6.57494e-09 t=8158
dou hao 	都好	c=1 d=2.21136e-13 t=8158
dou hua 	都花	c=0 d=1.44897e-11 t=8158
dou huai yi 	都怀疑	c=1 d=4.2579e-15 t=8158
dou kuai 	都快	c=1 d=7.73311e-06 t=8158
dou lai zi 	都来自	c=1 d=1.32746e-09 t=8158
dou mei 	都没	c=2 d=0.132655 t=8158
dou mei fa xian 	都没发现	c=1 d=4.70491e-13 t=8158
dou mei you 	都没有	c=2 d=0.946485 t=8158
dou neng 	都能	c=1 d=1.55805e-11 t=8158
dou shi 	都是	c=12 d=0.975349 t=8158
dou xiang 	都想	c=1 d=0.0393602 t=8158
dou yao 	都要	c=1 d=0.99005 t=8158
dou you 	都有	c=2 d=6.15467e-08 t=8158
dou you fang zi 	都有房子	c=1 d=1.44174e-10 t=8158
dou zha 	都炸	c=1 d=0.000867409 t=8158
dou zhi chi 	都支持	c=1 d=1.5816e-11 t=8158
dou zhi jie 	都直接	c=1 d=0.00185476 t=8158
du 	都	c=0 d=8.63377e-09 t=8158
du ai 	独爱	c=0 d=1.71274e-08 t=8158
du ai ju 	独爱菊	c=1 d=1.72133e-07 t=8158
du che 	堵车	c=1 d=6.97914e-05 t=8158
du liang heng 	度量衡	c=1 d=5.36921e-08 t=8158
du qu 	读取	c=1 d=9.05762e-13 t=8158
du ru hui 	杜如晦	c=1 d=1.51149e-07 t=8158
du si 	堵死	c=0 d=0.00177743 t=8158
du si le 	堵死了	c=1 d=0.0178634 t=8158
du zhe 	堵着	c=1 d=0.00975476 t=8158
du zun ru shu 	独尊儒术	c=1 d=7.54346e-08 t=8158
duan 	段	c=1 d=1.23494e-12 t=8158
duan 	端	c=3 d=1 t=8158
duan chang ren zai tian ya 	断肠人在天涯	c=1 d=1.26883e-07 t=8158
duan kou 	端口	c=3 d=1 t=8158
duan yi 	短一	c=0 d=0.000814786 t=8158
duan yi dian 	短一点	c=1 d=0.0081887 t=8158
dui 	兑	c=1 d=1.95557e-08 t=8158
dui 	对	c=12 d=0.0648304 t=8158
dui 	怼	c=0 d=2.93299e-13 t=8158
dui 	队	c=0 d=0.00182243 t=8158
dui bi 	对比	c=1 d=0.0105672 t=8158
dui bu dui 	对不对	c=1 d=8.81118e-12 t=8158
dui deng 	对等	c=1 d=4.63171e-05 t=8158
dui guo jia 	对国家	c=1 d=2.56216e-10 t=8158
dui jiu dang ge 	对酒当歌	c=1 d=9.09837e-07 t=8158
dui lie 	队列	c=1 d=0.97531 t=8158
dui ma 	对吗	c=1 d=2.85319e-11 t=8158
dui xiang 	对象	c=3 d=0.00527382 t=8158
dui yi ge 	怼一个	c=1 d=2.94769e-12 t=8158
duo 	多	c=10 d=0.782658 t=8158
duo duo yi shan 	多多益善	c=1 d=6.79156e-08 t=8158
duo ge 	多个	c=5 d=2.84867e-06 t=8158
duo hao 	多好	c=1 d=9.35285e-08 t=8158
duo ji 	多级	c=1 d=1.87985e-14 t=8158
duo lao 	多劳	c=0 d=2.15639e-12 t=8158
duo lao duo de 	多劳多得	c=1 d=2.14564e-11 t=8158
duo lao shao de 	多劳少得	c=1 d=2.1672e-11 t=8158
duo ping 	多屏	c=2 d=0.512744 t=8158
duo shao nian 	多少年	c=1 d=1.62921e-07 t=8158
duo shao qian 	多少钱	c=1 d=1.01878e-13 t=8158
duo xi tan jing 	夺席谈经	c=1 d=1.18305e-07 t=8158
duo xian cheng 	多线程	c=3 d=7.64544e-07 t=8158
duo xiao 	多小	c=1 d=4.38533e-09 t=8158
e 	娥	c=0 d=2.15046e-09 t=8158
e 	额	c=3 d=2.02978e-05 t=8158
e de 	饿得	c=0 d=6.11773e-15 t=8158
e de yi pi 	饿得一批	c=1 d=6.1484e-14 t=8158
e huang nv ying 	娥晃女英	c=1 d=2.16124e-08 t=8158
e le 	饿了	c=2 d=0.995012 t=8158
e yu 	鳄鱼	c=0 d=4.65651e-10 t=8158
e yu fa ze 	鳄鱼法则	c=1 d=4.67985e-09 t=8158
en 	嗯	c=10 d=0.59446 t=8158
en 	恩	c=1 d=3.73821e-13 t=8158
er 	尔	c=1 d=2.5175e-09 t=8158
er 	而	c=1 d=4.91812e-05 t=8158
er ci 	二次	c=2 d=0.980277 t=8158
er ci yuan 	二次元	c=1 d=2.39553e-13 t=8158
er duo 	耳朵	c=3 d=1.02683 t=8158
er ji 	二级	c=4 d=0.741318 t=8158
er ji 	耳机	c=1 d=1.50836e-12 t=8158
er qie 	而且	c=1 d=1.67017e-05 t=8158
er ru 	而入	c=0 d=2.94008e-12 t=8158
er shi si 	二十四	c=1 d=1.48899e-07 t=8158
er shou 	二手	c=1 d=0.00194013 t=8158
er yi 	而已	c=1 d=2.30121e-11 t=8158
fa 	发	c=1 d=0.172907 t=8158
fa 	法	c=0 d=4.2874e-09 t=8158
fa an 	法案	c=1 d=0.000210716 t=8158
fa bu 	发布	c=1 d=2.69444e-14 t=8158
fa dian 	发电	c=1 d=1.3545e-11 t=8158
fa ding xing 	法定性	c=1 d=9.42406e-09 t=8158
fa jing 	法经	c=1 d=4.2874e-08 t=8158
fa ku 	法库	c=0 d=0.0985112 t=8158
fa lv 	法律	c=2 d=0.000191625 t=8158
fa pang 	发胖	c=2 d=1.01994 t=8158
fa sheng 	发生	c=4 d=1.91814 t=8158
fa song 	发送	c=4 d=4.15485e-12 t=8158
fa wai 	法外	c=1 d=0.000220415 t=8158
fa wen 	发文	c=3 d=4.37127e-08 t=8158
fa wen ji guan 	发文机关	c=3 d=3.63254e-08 t=8158
fa wen zi hao 	发文字号	c=1 d=1.26577e-08 t=8158
fa xian 	发现	c=18 d=2.10063 t=8158
fa yue er 	法约尔	c=5 d=1.21648e-08 t=8158
fa ze 	法则	c=1 d=4.31639e-09 t=8158
fan 	反	c=1 d=3.00672e-10 t=8158
fan bi 	反比	c=1 d=8.3167e-09 t=8158
fan er 	反而	c=2 d=0.0253494 t=8158
fan qiang 	翻墙	c=1 d=0.000280202 t=8158
fan qie 	番茄	c=1 d=5.70413e-14 t=8158
fan se 	反色	c=5 d=1.74648e-09 t=8158
fan she 	反射	c=1 d=1.88863e-10 t=8158
fan shui 	反水	c=1 d=1.40227e-07 t=8158
fan suo 	繁琐	c=1 d=0.0238732 t=8158
fan wei 	范围	c=0 d=1.67478e-09 t=8158
fan yi 	翻译	c=3 d=1.94666e-06 t=8158
fan ying li 	反应力	c=1 d=0.980199 t=8158
fan zhe 	反着	c=1 d=2.10315e-11 t=8158
fan zheng 	反正	c=1 d=0.00184551 t=8158
fan zhuan 	反转	c=1 d=3.91906e-10 t=8158
fan zui 	犯罪	c=1 d=7.71314e-05 t=8158
fang 	放	c=3 d=0.449329 t=8158
fang an 	方案	c=1 d=1.73054e-11 t=8158
fang bian 	方便	c=5 d=1.45661 t=8158
fang fa 	方法	c=3 d=1.85572 t=8158
fang jia 	房价	c=2 d=3.43808e-10 t=8158
fang mou du duan 	房谋杜断	c=1 d=1.53433e-07 t=8158
fang qi 	放弃	c=3 d=7.7511e-05 t=8158
fang wen 	访问	c=2 d=6.31499e-05 t=8158
fang xuan ling 	房玄龄	c=1 d=1.50395e-07 t=8158
fang zhi 	防止	c=1 d=0.869358 t=8158
fang zi 	房子	c=0 d=1.43455e-11 t=8158
fei 	费	c=1 d=0.00486835 t=8158
fei 	非	c=2 d=0.0247235 t=8158
fei bi yao 	非必要	c=1 d=0.955997 t=8158
fei chang 	非常	c=6 d=0.00119453 t=8158
fei di gui 	非递归	c=1 d=3.59102e-11 t=8158
fei dian 	费电	c=1 d=5.79087e-15 t=8158
fei dian a 	费电啊	c=1 d=4.07054e-15 t=8158
fei hui 	飞会	c=1 d=3.78297e-06 t=8158
fei ji shi shi 	飞机失事	c=1 d=1.08683e-09 t=8158
fei le 	废了	c=0 d=1.97012e-08 t=8158
fei wo 	非我	c=1 d=2.05157e-13 t=8158
fei wu zhi 	非物质	c=1 d=0.08291 t=8158
fei yan 	费眼	c=1 d=2.8175e-10 t=8158
fen 	分	c=4 d=1.00002 t=8158
fen bian lv 	分辨率	c=5 d=0.229925 t=8158
fen bu shi 	分布式	c=9 d=5.5038 t=8158
fen dan gao 	分蛋糕	c=2 d=4.79266e-11 t=8158
fen feng zhi 	分封制	c=2 d=6.43245e-08 t=8158
fen gong 	分工	c=1 d=2.88137e-09 t=8158
fen hao 	份号	c=4 d=5.10733e-08 t=8158
fen hao 	分号	c=1 d=1.08402e-08 t=8158
fen lei 	分类	c=1 d=8.05281e-12 t=8158
fen qi 	分期	c=1 d=0.554327 t=8158
fen qu 	分区	c=7 d=2.72668 t=8158
fen qu biao 	分区表	c=2 d=0.970446 t=8158
fen shen 	分身	c=2 d=0.12132 t=8158
fen shui ling 	分水岭	c=1 d=2.81702e-08 t=8158
fen xi 	分析	c=2 d=1.05901 t=8158
fen xiang 	分享	c=1 d=0.0042963 t=8158
fen zhong 	分钟	c=1 d=2.05192e-15 t=8158
feng 	封	c=1 d=0.00065231 t=8158
feng 	风	c=1 d=1.80178e-15 t=8158
feng ge 	风格	c=2 d=1 t=8158
feng huo xi zhu hou 	烽火戏诸侯	c=1 d=3.42356e-08 t=8158
feng jian 	封建	c=1 d=3.91961e-08 t=8158
feng kuang 	疯狂	c=3 d=0.990446 t=8158
feng lang 	封狼	c=1 d=9.07643e-08 t=8158
feng lang ju xu 	封狼居胥	c=1 d=8.9413e-08 t=8158
feng shan 	风扇	c=4 d=0.00147705 t=8158
feng zhuang 	封装	c=5 d=1.03228 t=8158
fo jiao 	佛教	c=1 d=8.05007e-08 t=8158
fu 	府	c=0 d=8.63377e-09 t=8158
fu 	负	c=0 d=0.00176857 t=8158
fu chu 	复出	c=1 d=8.98918e-12 t=8158
fu de 	富的	c=2 d=1.56937 t=8158
fu de 	负的	c=1 d=1.47112e-12 t=8158
fu gai 	覆盖	c=1 d=0.000569928 t=8158
fu gai diao 	覆盖掉	c=1 d=8.55222e-14 t=8158
fu hao 	符号	c=3 d=2.41216e-06 t=8158
fu hui 	复回	c=1 d=7.33822e-07 t=8158
fu huo 	复活	c=1 d=2.60806e-13 t=8158
fu jian 	附件	c=2 d=3.02347e-08 t=8158
fu po 	富婆	c=1 d=0.774916 t=8158
fu sheng 	复圣	c=1 d=7.30162e-07 t=8158
fu shou ru 	负收入	c=1 d=0.0177743 t=8158
fu wu 	服务	c=3 d=0.00286574 t=8158
fu wu qi 	服务器	c=8 d=0.016245 t=8158
fu yin 	复印	c=2 d=2.84678e-08 t=8158
fu za 	复杂	c=1 d=0.657047 t=8158
fu zai 	负载	c=1 d=0.00151098 t=8158
fu zai jun heng 	负载均衡	c=5 d=1.97026 t=8158
fu zhi 	复制	c=1 d=3.43301e-11 t=8158
fu zhong 	浮肿	c=1 d=1 t=8158
fu zhu 	辅助	c=1 d=0.0290133 t=8158
fu zhu 	附注	c=1 d=1.67478e-08 t=8158
fu zhu ji guan 	辅助机关	c=1 d=7.91109e-09 t=8158
fu zi 	父子	c=2 d=8.62229e-14 t=8158
gai 	改	c=1 d=3.3439e-11 t=8158
gai 	盖	c=1 d=1.64984e-08 t=8158
gai 	该	c=1 d=3.53784e-05 t=8158
gai bian 	改变	c=1 d=0.0443785 t=8158
gai cheng 	改成	c=2 d=0.971973 t=8158
gai cheng xu 	改程序	c=1 d=1.27562e-11 t=8158
gai de 	改得	c=1 d=1 t=8158
gai guo 	改过	c=1 d=0.97531 t=8158
gai kao lv 	该考虑	c=1 d=2.09195e-07 t=8158
gai le 	改了	c=3 d=6.90392e-05 t=8158
gai lv 	概率	c=5 d=0.288324 t=8158
gai ming 	改名	c=1 d=1 t=8158
gai nian 	概念	c=1 d=0.0269169 t=8158
gai xia 	垓下	c=1 d=6.84959e-08 t=8158
gai xia zhi zhan 	垓下之战	c=1 d=6.14526e-08 t=8158
gai zen me 	该怎么	c=1 d=0.856415 t=8158
gai zhi 	改制	c=0 d=1.29446e-08 t=8158
gan 	干	c=2 d=0.0196627 t=8158
gan diao 	干掉	c=4 d=5.55504e-05 t=8158
gan fei 	干费	c=1 d=0.000829241 t=8158
gan guo 	干过	c=0 d=1.42395e-12 t=8158
gan jue 	感觉	c=18 d=1.13382 t=8158
gan le 	干了	c=2 d=0.77109 t=8158
gan rao 	干扰	c=1 d=5.33045e-11 t=8158
gan sha 	干啥	c=1 d=0.00321477 t=8158
gan xie 	感谢	c=1 d=6.96467e-10 t=8158
gang 	刚	c=9 d=0.245409 t=8158
gang gang 	刚刚	c=1 d=2.302e-15 t=8158
gang gang hao 	刚刚好	c=1 d=0.511709 t=8158
gang gao 	刚搞	c=1 d=1.9613e-13 t=8158
gang hao 	刚好	c=2 d=2.48697e-12 t=8158
gang jing 	杠精	c=1 d=5.74463e-09 t=8158
gang qi dong 	刚启动	c=1 d=0.000305061 t=8158
gang wei 	岗位	c=1 d=0.000205513 t=8158
gao 	搞	c=12 d=2.04257 t=8158
gao 	高	c=0 d=1.17491e-15 t=8158
gao bu liao me 	搞不了么	c=1 d=7.25138e-14 t=8158
gao chou 	搞臭	c=0 d=0.000341356 t=8158
gao chou le 	搞臭了	c=1 d=0.00343067 t=8158
gao de 	搞得	c=3 d=1.83965 t=8158
gao di 	高低	c=1 d=3.66294e-09 t=8158
gao di 	高地	c=1 d=3.81243e-09 t=8158
gao du 	高度	c=1 d=2.43679e-08 t=8158
gao ge 	搞个	c=6 d=1.34214 t=8158
gao ji 	高级	c=1 d=8.02792e-05 t=8158
gao ji zhong xue 	高级中学	c=2 d=7.47725e-14 t=8158
gao jin qu 	搞进去	c=1 d=0.000649051 t=8158
gao le 	搞了	c=3 d=0.900325 t=8158
gao mi hu 	搞迷糊	c=1 d=7.81082e-06 t=8158
gao shua 	高刷	c=1 d=3.10737e-15 t=8158
gao su 	告诉	c=1 d=0.00334597 t=8158
gao xiao 	高效	c=1 d=0.0256042 t=8158
gao zhe ge 	搞这个	c=1 d=2.08293e-15 t=8158
gao zhong 	高中	c=4 d=1.06118e-13 t=8158
ge 	个	c=39 d=5.37209 t=8158
ge 	割	c=0 d=0.0053397 t=8158
ge da 	疙瘩	c=1 d=1 t=8158
ge jiu cai 	割韭菜	c=1 d=0.0536647 t=8158
ge li 	隔离	c=1 d=0.000675539 t=8158
ge ren 	个人	c=1 d=0.806541 t=8158
ge rou 	割肉	c=1 d=3.8408e-08 t=8158
ge sha 	个啥	c=1 d=8.63377e-08 t=8158
ge shi 	格式	c=10 d=1.8479 t=8158
ge shu 	个数	c=1 d=1.93243e-15 t=8158
ge yi 	隔一	c=0 d=3.14565e-13 t=8158
ge yi hui 	隔一会	c=1 d=3.16142e-12 t=8158
gei 	给	c=10 d=1.83682 t=8158
gei ni 	给你	c=4 d=0.0295431 t=8158
gen 	艮	c=1 d=1.93611e-08 t=8158
gen 	跟	c=1 d=4.71709e-14 t=8158
gen ben 	根本	c=1 d=0.000122721 t=8158
gen ben zhi du 	根本制度	c=1 d=0.000111109 t=8158
gen ju 	根据	c=3 d=0.00819795 t=8158
gen yuan 	根源	c=1 d=9.66756e-15 t=8158
geng 	更	c=10 d=1.02046 t=8158
geng hen 	更狠	c=1 d=2.2611e-10 t=8158
geng ju ti yi dian 	更具体一点	c=1 d=4.12925e-07 t=8158
geng le 	更了	c=1 d=1.18979e-15 t=8158
geng xi huan 	更喜欢	c=1 d=8.41916e-06 t=8158
geng xin 	更新	c=23 d=11.5461 t=8158
geng zhong 	更重	c=1 d=0.000224867 t=8158
gong 	公	c=1 d=6.78612e-08 t=8158
gong 	共	c=1 d=0.99005 t=8158
gong 	工	c=1 d=1.84614e-07 t=8158
gong bao 	公报	c=1 d=9.85783e-09 t=8158
gong cheng 	工程	c=4 d=0.548838 t=8158
gong gong 	公共	c=1 d=7.33946e-09 t=8158
gong he 	共和	c=0 d=3.37259e-09 t=8158
gong he xing zheng 	共和行政	c=1 d=3.38949e-08 t=8158
gong ji 	公基	c=3 d=1.9458 t=8158
gong jia 	公家	c=1 d=1.20715e-09 t=8158
gong ju 	工具	c=5 d=0.99006 t=8158
gong ju xing 	工具性	c=1 d=9.4713e-09 t=8158
gong kai 	公开	c=1 d=0.00332928 t=8158
gong kao 	公考	c=2 d=0.99005 t=8158
gong mian 	共勉	c=1 d=1.13686e-09 t=8158
gong neng 	功能	c=5 d=1.84261 t=8158
gong nv 	宫女	c=1 d=8.72054e-08 t=8158
gong si 	公私	c=1 d=2.26695e-11 t=8158
gong tong 	共同	c=1 d=7.67467e-05 t=8158
gong wen 	公文	c=1 d=1.72578e-08 t=8158
gong wu yuan 	公务员	c=3 d=2.7558e-10 t=8158
gong xian 	贡献	c=1 d=2.88186e-11 t=8158
gong xiang 	共享	c=6 d=0.00306364 t=8158
gong you zhi 	公有制	c=3 d=6.34695e-11 t=8158
gong yuan 	公元	c=1 d=1.07047e-07 t=8158
gong zi xiao bai 	公子小白	c=1 d=3.7087e-08 t=8158
gong zuo 	工作	c=1 d=0.960789 t=8158
gong zuo liu 	工作流	c=2 d=8.8394e-12 t=8158
gong zuo qu 	工作区	c=1 d=4.85909e-10 t=8158
gou 	狗	c=2 d=1.5777 t=8158
gou qiang 	够呛	c=1 d=0.0608101 t=8158
gu 	古	c=0 d=1.29446e-08 t=8158
gu dai 	古代	c=2 d=2.52518e-06 t=8158
gu dao xi feng shou ma 	古道西风瘦马	c=1 d=1.25621e-07 t=8158
gu ge 	谷歌	c=1 d=2.80393e-12 t=8158
gu jin 	古今	c=1 d=2.78899e-08 t=8158
gu ke yi yuan 	骨科医院	c=1 d=0.99005 t=8158
gu wu 	孤鹜	c=2 d=1.92654 t=8158
gu yi 	故意	c=1 d=0.980199 t=8158
gu zhang 	故障	c=1 d=8.4467e-15 t=8158
gua 	挂	c=1 d=2.44984e-12 t=8158
gua ji 	挂机	c=1 d=0.588605 t=8158
gua le 	挂了	c=1 d=0.0997588 t=8158
gua pai 	挂牌	c=1 d=8.78693e-09 t=8158
guai 	怪	c=1 d=0.0063481 t=8158
guai bu de 	怪不得	c=1 d=0.970446 t=8158
guai guai 	怪怪	c=1 d=0.0127784 t=8158
guan ban 	官办	c=2 d=2.42603e-07 t=8158
guan bi 	关闭	c=1 d=9.96199e-15 t=8158
guan cha 	观察	c=2 d=0.591939 t=8158
guan diao 	关掉	c=3 d=2.64567e-05 t=8158
guan du 	官渡	c=1 d=1.32061e-07 t=8158
guan ji 	关机	c=3 d=0.499074 t=8158
guan jia 	管家	c=1 d=1 t=8158
guan jian 	关键	c=4 d=1.98232 t=8158
guan jian ci 	关键词	c=1 d=1.35101e-10 t=8158
guan jian shi 	关键是	c=1 d=3.32294e-10 t=8158
guan jun hou 	冠军候	c=1 d=8.8967e-08 t=8158
guan li 	管理	c=9 d=2.57931 t=8158
guan li ju 	管理局	c=1 d=8.6995e-09 t=8158
guan li xing 	管理型	c=1 d=7.48773e-09 t=8158
guan li xue 	管理学	c=3 d=9.84621e-09 t=8158
guan li zhi fu 	管理之父	c=1 d=1.51932e-09 t=8158
guan wang 	官网	c=1 d=2.01129e-15 t=8158
guan xi 	关系	c=2 d=2.18835e-07 t=8158
guan xing 	惯性	c=1 d=5.04434e-09 t=8158
guan yu 	关于	c=1 d=1.95185e-15 t=8158
guang 	光	c=1 d=1.34103e-11 t=8158
guang da 	广大	c=1 d=2.59461e-11 t=8158
guang huan xiao ying 	光环效应	c=1 d=5.38311e-09 t=8158
guang mao 	光猫	c=1 d=1.55456e-14 t=8158
guang wu 	光武	c=1 d=1.04927e-07 t=8158
gui fan 	规范	c=2 d=0.00110651 t=8158
gui fan xing 	规范性	c=1 d=9.37706e-09 t=8158
gui lv 	规律	c=3 d=6.55374e-05 t=8158
gui qian 	贵钱	c=1 d=8.80968e-10 t=8158
gui shu 	归属	c=1 d=1.06274e-10 t=8158
gui yi 	诡异	c=1 d=7.02009e-15 t=8158
gui ze 	规则	c=2 d=0.10561 t=8158
gun 	滚	c=2 d=0.00105717 t=8158
gun dong 	滚动	c=2 d=0.00514576 t=8158
gun yi bo 	滚一波	c=1 d=1.01632e-14 t=8158
gun yi xia 	滚一下	c=2 d=0.928532 t=8158
gun zhe 	滚着	c=2 d=0.00961577 t=8158
guo 	国	c=2 d=2.76994e-07 t=8158
guo 	过	c=6 d=0.0196022 t=8158
guo 	锅	c=1 d=6.26833e-06 t=8158
guo chan 	国产	c=1 d=0.000365224 t=8158
guo cheng 	过程	c=2 d=0.847894 t=8158
guo duan 	果断	c=1 d=0.000953854 t=8158
guo ji 	国际	c=1 d=1.94079e-07 t=8158
guo jia 	国家	c=1 d=8.61294e-09 t=8158
guo jie 	过节	c=1 d=8.74013e-05 t=8158
guo kao 	国考	c=1 d=1.37498e-11 t=8158
guo le 	过了	c=2 d=3.10286e-05 t=8158
guo lv 	过滤	c=2 d=5.52026e-07 t=8158
guo nei 	国内	c=8 d=0.397543 t=8158
guo nian 	过年	c=2 d=2.04294e-14 t=8158
guo qi 	过期	c=1 d=5.22312e-07 t=8158
guo qu 	过去	c=2 d=1.36083e-07 t=8158
guo shi wu shuang 	国士无双	c=1 d=6.85982e-08 t=8158
guo wai 	国外	c=2 d=9.24124e-10 t=8158
guo wu yuan 	国务院	c=1 d=0.000204488 t=8158
guo yi hui 	过一会	c=1 d=0.937067 t=8158
ha 	哈	c=2 d=0.0871617 t=8158
ha ha 	哈哈	c=5 d=3.2836e-11 t=8158
hai 	还	c=9 d=0.502768 t=8158
hai bu 	还不	c=1 d=0.134426 t=8158
hai bu ru 	还不如	c=3 d=0.989496 t=8158
hai bu wan 	还不晚	c=1 d=6.91205e-09 t=8158
hai bu yi yang 	还不一样	c=1 d=0.323033 t=8158
hai bu zheng 	还不正	c=1 d=3.03065e-15 t=8158
hai chou 	还丑	c=1 d=2.30717e-12 t=8158
hai en 	海恩	c=1 d=3.83154e-09 t=8158
hai er 	海尔	c=4 d=3.95543 t=8158
hai hao 	还好	c=1 d=2.71311e-07 t=8158
hai hui 	还会	c=4 d=0.941765 t=8158
hai ji de 	还记得	c=1 d=0.00538036 t=8158
hai mei 	还没	c=1 d=4.51735e-05 t=8158
hai neng 	还能	c=1 d=0.574072 t=8158
hai sheng 	还省	c=0 d=0.0017953 t=8158
hai sheng zhu su 	还省住宿	c=1 d=0.018043 t=8158
hai shi 	还是	c=26 d=2.64578 t=8158
hai xing 	还行	c=2 d=0.923116 t=8158
hai yao 	还要	c=2 d=1.76045e-09 t=8158
hai yi wei 	还以为	c=1 d=1.52326e-10 t=8158
hai you 	还有	c=9 d=1.12052 t=8158
hai zai 	还在	c=1 d=9.19607e-15 t=8158
hai zhen 	还真	c=1 d=8.17312e-10 t=8158
hai zhen shi 	还真是	c=1 d=1.6794e-11 t=8158
hai zhi shi 	还只是	c=1 d=0.0761538 t=8158
hai zi 	孩子	c=1 d=6.60565e-05 t=8158
han chu san jie 	汉初三杰	c=1 d=6.39605e-08 t=8158
han gong qiu 	汉宫秋	c=1 d=9.88166e-08 t=8158
han hua 	汉化	c=1 d=1.4306e-07 t=8158
han li 	汉隶	c=1 d=2.77508e-08 t=8158
han shu 	函数	c=3 d=0.0319048 t=8158
han shu 	汉书	c=1 d=1.1086e-07 t=8158
han shu ming 	函数名	c=1 d=1.72608e-10 t=8158
han wen 	韩文	c=0 d=8.9413e-09 t=8158
han wen zheng 	韩文正	c=2 d=1.09038e-06 t=8158
han wu di 	汉武帝	c=1 d=6.99839e-08 t=8158
han xin 	韩信	c=2 d=1.32167e-07 t=8158
han zi 	汉字	c=1 d=2.80297e-08 t=8158
hang 	行	c=4 d=0.000172952 t=8158
hang hao 	行号	c=1 d=3.71893e-11 t=8158
hang nei 	行内	c=1 d=1.4854e-08 t=8158
hang ye 	行业	c=1 d=7.32176e-10 t=8158
hao 	号	c=5 d=0.99005 t=8158
hao 	好	c=26 d=3.31887 t=8158
hao chu 	好处	c=2 d=0.0257014 t=8158
hao de 	好的	c=4 d=2.29465e-06 t=8158
hao dong xi 	好东西	c=1 d=0.970446 t=8158
hao duo 	好多	c=9 d=1.0076 t=8158
hao duo ye 	好多页	c=1 d=1.25599e-05 t=8158
hao gui 	好贵	c=1 d=1 t=8158
hao hao 	好好	c=4 d=0.0320746 t=8158
hao jiu 	好久	c=2 d=0.618783 t=8158
hao ren 	好人	c=1 d=4.3522e-08 t=8158
hao xiang 	好像	c=26 d=1.87599 t=8158
hao xiang 	好香	c=0 d=0.00109985 t=8158
hao xiang a 	好香啊	c=1 d=0.0110536 t=8158
hao xin ren 	好心人	c=1 d=0.99005 t=8158
hao yang mao 	薅羊毛	c=2 d=6.84319e-12 t=8158
hao yong 	好用	c=1 d=0.00327971 t=8158
hao zi yuan 	耗资源	c=2 d=8.71905e-06 t=8158
he 	和	c=17 d=3.16491 t=8158
he bing 	合并	c=3 d=0.985112 t=8158
